text,cleaned_text,polarity,subjectivity,sentiment,compound,positive,neutral,negative,text_length,word_count
"Right???? 😂 Love this. It's so very true. Fortunately,many of the people are awakened to the slick games going on behind the scenes. Keep our President Trump and his team SAFE at all costs. #America #PresidentTrump #ElonMusk #JDVance #TulsiGabbard #VivekRamaswamy https://t.co/FL2Ystmnyv",right love this it s so very true fortunately many of the people are awakened to the slick games going on behind the scenes keep our president trump and his team safe at all costs america presidenttrump elonmusk jdvance tulsigabbard vivekramaswamy,0.22724489795918368,0.5793877551020409,positive,0.8878,0.221,0.779,0.0,247,41
@MAstronomers If we follow #ElonMusk's naming style it got to be Metropolis!,if we follow elonmusk s naming style it got to be metropolis,0.0,0.0,neutral,0.0,0.0,1.0,0.0,60,12
SpaceX aims to turn Starbase into a city! 🚀 Could this be the future of innovation hubs? 🌌 #SpaceX #StarbaseTexas #ElonMusk  https://t.co/JjhV0YVWAS https://t.co/2wYlojlO6O,spacex aims to turn starbase into a city could this be the future of innovation hubs spacex starbasetexas elonmusk,0.0,0.125,positive,0.3818,0.133,0.867,0.0,114,19
@OghamTheBold @uapsauce They are called eVTOL aircraft. Speeds up to 150 mph. Named Midnight. Tilt propellers. So cool! #drones #Archer #scifi #ElonMusk,they are called evtol aircraft speeds up to 150 mph named midnight tilt propellers so cool drones archer scifi elonmusk,0.35,0.65,positive,0.4572,0.136,0.864,0.0,119,20
🚨 BREAKING: X (formerly Twitter) is reportedly working on a GAME-CHANGING email service to rival Gmail! 🔥👀 Could Xmail be the next big thing? What features would you want? #X #ElonMusk #Xmail #TechNews #EmailRevolution https://t.co/td7pX7X5KD,breaking x formerly twitter is reportedly working on a game changing email service to rival gmail could xmail be the next big thing what features would you want x elonmusk xmail technews emailrevolution,-0.1,0.125,positive,0.0772,0.043,0.957,0.0,202,33
"#Christmas is waiting for you 🎅🧑‍🎄🌲

@DogeSantaSol  

#SantaDoge 🐕

#ElonMusk flying this up 🚀 

The future of Christmas logistics is here. 🌲

#SantaDoge #ElonMusk #Crypto #Dogecoin #Elon $Doge #Santa #Rizzmas

#christmas 🌲 #XMAS $XMAS #BTC $ETH $ELON #Memes @grok #grok https://t.co/3PYXHKIzaA",christmas is waiting for you santadoge elonmusk flying this up the future of christmas logistics is here santadoge elonmusk crypto dogecoin elon doge santa rizzmas christmas xmas xmas btc eth elon memes grok,0.0,0.125,neutral,0.0,0.0,1.0,0.0,207,33
".
If you want to know why Elon Musk has been trolling the UK since the summer have a listen to this excellent radio documentary on BBC Sounds!

#C4News #ElonMusk 
.
https://t.co/eHnnJ8tl7G",if you want to know why elon musk has been trolling the uk since the summer have a listen to this excellent radio documentary on bbc sounds c4news elonmusk,0.5,0.5,positive,0.6883,0.179,0.821,0.0,155,29
Congrats to #KariLake we've compiled 2019-2023 #data #DataToThePeople on federal #government #remotework #remotejobs #WFH #employees for #DOGE #VivekRamaswamy #ElonMusk #Elon_Musk #Elon to do #DataAnalytics https://t.co/f3C8Xa7p3n,congrats to karilake we ve compiled 2019 2023 data datatothepeople on federal government remotework remotejobs wfh employees for doge vivekramaswamy elonmusk elon musk elon to do dataanalytics,0.0,0.0,positive,0.5267,0.116,0.884,0.0,192,27
"https://t.co/o17U2ENz87       - 
 $TSLA $SPCE $LINK  

#China #Starlink #ElonMusk #Satellites #SpaceTech #LEO #Qianfan #GuoWang #Honghu3 #SpaceRace #Technology #GlobalEconomy  

China's ambitions in the space-tec...",tsla spce link china starlink elonmusk satellites spacetech leo qianfan guowang honghu3 spacerace technology globaleconomy china s ambitions in the space tec,0.0,0.0,neutral,0.0,0.0,1.0,0.0,157,22
"#ElonMusk  drops a cryptic hint about Xmail, an upcoming email service under the X platform. While the details remain a mystery,  the tech is world buzzing with speculation. Could this be the next big challenge to #Gmail?",elonmusk drops a cryptic hint about xmail an upcoming email service under the x platform while the details remain a mystery the tech is world buzzing with speculation could this be the next big challenge to gmail,0.0,0.05,positive,0.0772,0.038,0.962,0.0,212,37
The Evolving Threat of #ISIL in Post-Assad #Syria: A Comprehensive Analysis https://t.co/ZslSn6jqjS via @https://debuglies.com #RussiaUkraineConflict #Elon_Musk #Trump #EuropeNews #ElonMusk #IsraelPalestineWar #donald #IranAttack #IranIsrael @elonmusk,the evolving threat of isil in post assad syria a comprehensive analysis via debuglies com russiaukraineconflict elon musk trump europenews elonmusk israelpalestinewar donald iranattack iranisrael,0.0,0.0,negative,-0.34,0.073,0.803,0.124,196,25
@elonmusk #dronesoverNJ and others from #ELONMUSK! HE WORKS ON PENTAGIN. THIS FAT CLOWN WILL CONTROL EVERYONE,dronesovernj and others from elonmusk he works on pentagin this fat clown will control everyone,0.0,0.0,neutral,0.0,0.0,1.0,0.0,95,15
@TheDemCoalition May Satan deal with that scumbag #ElonMusk..,may satan deal with that scumbag elonmusk,0.0,0.0,negative,-0.6369,0.0,0.588,0.412,41,7
"Love this and i see it happening, thanks to simpsons 😂 

#Airdrop #thread #Crypto #swag $BTC $ETH $SOL $APT $PEPE $HMSTR $PNUT $MOG $MEW $GOAT $AIXBT $MICHI $POPCAT #ElonMusk #simpso https://t.co/tGbIffkXXT",love this and i see it happening thanks to simpsons airdrop thread crypto swag btc eth sol apt pepe hmstr pnut mog mew goat aixbt michi popcat elonmusk simpso,0.4333333333333333,0.6,positive,0.7964,0.215,0.785,0.0,158,29
"🚨BIG ANNOUNCEMENT🚨

@kaspamoonboiz ARE HERE! 

🟩🟩🟩MINT TIME….

Let’s go guys we have this! 

To the moon $KASFAM

#meme #memecoin #Crypto #BTC #ETH #Kaspa #KRC20 #Solana #investing #CryptoNews #YouTube $DOGE $pepe #ElonMusk #AndrewTate https://t.co/NTI2otcOKg",big announcement are here mint time let s go guys we have this to the moon kasfam meme memecoin crypto btc eth kaspa krc20 solana investing cryptonews youtube doge pepe elonmusk andrewtate,0.0,0.1,neutral,0.0,0.0,1.0,0.0,188,32
"The journey isn’t easy, but Mars is worth it! 🔥 $ELON #DogelonMars $ELON #ElonMusk #binance #ByBit #cryptocom #kraken #HODL https://t.co/DzJ5zmMviq",the journey isn t easy but mars is worth it elon dogelonmars elon elonmusk binance bybit cryptocom kraken hodl,0.3666666666666667,0.4666666666666667,positive,0.5106,0.212,0.788,0.0,110,19
"Never Split the Difference: Mastering Negotiation by Chris Voss, Summary ""Podcast"" https://t.co/ZW8YlCJiDZ ~   #ai #art #NFT #RVA #VA #Virginia #RealEstate #ElonMusk #Ideas #Motivation #Entrepreneurship #Metaverse #Crypto #Doge #SHIB",never split the difference mastering negotiation by chris voss summary podcast ai art nft rva va virginia realestate elonmusk ideas motivation entrepreneurship metaverse crypto doge shib,0.0,0.0,positive,0.34,0.088,0.912,0.0,186,26
"🚨 𝕏 MAIL COMING SOON?!

Elon Musk: “Yeah. On the list of things to do.”

As Elon pushes to make 𝕏 the ultimate everything app, could 𝕏 Mail challenge Gmail and Outlook?

Source: 𝕏 #ElonMusk #XMail https://t.co/vX8nHI6bcQ https://t.co/HGtOxtAiPX",mail coming soon elon musk yeah on the list of things to do as elon pushes to make the ultimate everything app could mail challenge gmail and outlook source elonmusk xmail,0.0,1.0,positive,0.3612,0.108,0.892,0.0,171,31
"✨❤️Lazy Sunday❤️✨

Let's Talk! 
https://t.co/Mcz5UFma2d

- What's Exactly The Target Audience? Bait!
- Cooking WIth Kya Is The Tea!
- This Ain't Sitting Right With People! 

#SMALLSTREAMERS #TWITCHSTREAMER #TWITCHAFFILIATE #TWITCH #ELONMUSK #TRUMP #SUNDAYVIBES #SNL #NETFLIX https://t.co/r3RO1neuuu",lazy sunday let s talk what s exactly the target audience bait cooking with kya is the tea this ain t sitting right with people smallstreamers twitchstreamer twitchaffiliate twitch elonmusk trump sundayvibes snl netflix,0.09523809523809523,0.5952380952380952,negative,-0.3612,0.0,0.923,0.077,219,34
"Pay attention…

…And frogs to destroy [them] 🐸🐸🐸

#Xrp #XRPHolders #xrparmy #Ripple #XRPLedger #XRPL #RLUSD #XRPCommunity #Hbar #Hedera #Elonmusk #Trump
@bgarlinghouse #Bitcoin #BTC #QSentMe 🐸 https://t.co/V9RoeCuTdd",pay attention and frogs to destroy them xrp xrpholders xrparmy ripple xrpledger xrpl rlusd xrpcommunity hbar hedera elonmusk trump bitcoin btc qsentme,-0.2,0.0,negative,-0.5994,0.0,0.803,0.197,150,22
"@Investments_CEO #Christmas is waiting for you 🎅🧑‍🎄🌲

@DogeSantaSol  

#SantaDoge 🐕

#ElonMusk flying this up 🚀 

A4U3DLxHZWSqfnuvsnHb5X62KFR9fHhCEFLjjwPywzsC https://t.co/7NadB3sKNM",christmas is waiting for you santadoge elonmusk flying this up a4u3dlxhzwsqfnuvsnhb5x62kfr9fhhcefljjwpywzsc,0.0,0.0,neutral,0.0,0.0,1.0,0.0,107,11
"Hahha amazing 😂

#DonaldTrump #ElonMusk https://t.co/P5LsVJCwqT",hahha amazing donaldtrump elonmusk,0.6000000000000001,0.9,positive,0.5859,0.559,0.441,0.0,34,4
"BIG BREAKING:  Its not fake Elon Musk has just confirmed that 𝕏 will be launching its own email service.
#xmail #ElonMusk https://t.co/Jniu89IENp",big breaking its not fake elon musk has just confirmed that will be launching its own email service xmail elonmusk,0.3125,0.775,positive,0.3724,0.118,0.882,0.0,114,20
"""Elon Musk never stops innovating! Will 𝕏's email service bring something fresh to the table or just be another copycat?""
@elonmusk @DohaDebates
#Xmail #ElonMusk #DOGE https://t.co/XxqpSpZbau",elon musk never stops innovating will s email service bring something fresh to the table or just be another copycat xmail elonmusk doge,0.3,0.5,positive,0.4106,0.158,0.842,0.0,135,23
BREAKING 🚨 Democrats are planning to boycott Trump #InaugurationDay instead they will attend #diddyparty in Metro Brooklyn Jail😂 Meanwhile #Trump2024 invited Italy PM Giorgia Meloni to his inauguration where she will meet with future 1st gentlemen of Italy #ElonMusk 😂 #drones,breaking democrats are planning to boycott trump inaugurationday instead they will attend diddyparty in metro brooklyn jail meanwhile trump2024 invited italy pm giorgia meloni to his inauguration where she will meet with future 1st gentlemen of italy elonmusk drones,-0.05,0.0625,negative,-0.3182,0.0,0.943,0.057,266,39
@D007techno @lynk0x Lets gooo #ElonMusk #Crypto #Solana,lets gooo elonmusk crypto solana,0.0,0.0,neutral,0.0,0.0,1.0,0.0,32,5
"They were doing what they claimed Trump was doing. I knew it, I told my grandson 8 years ago what I suspected.]]
Biden the Tyrant #JoeBiden #ElonMusk #HunterBiden #Presidentialelection
https://t.co/gtL1O8Yaup",they were doing what they claimed trump was doing i knew it i told my grandson 8 years ago what i suspected biden the tyrant joebiden elonmusk hunterbiden presidentialelection,0.0,0.0,negative,-0.2263,0.0,0.927,0.073,175,29
"@JakeGagain Team and community grinding hard here chad @XMONEY_ETH

 #XMONEY is the next big thing on crypto space soon!   

#ETH #BTC #ElonMusk https://t.co/rDWFdneUgD",team and community grinding hard here chad xmoney is the next big thing on crypto space soon eth btc elonmusk,-0.09722222222222222,0.21388888888888888,negative,-0.1027,0.0,0.931,0.069,109,20
"@itechnosmith Marc Andreessen nails it. Elon’s ability to relentlessly tackle and fix problems week after week is what sets him apart. While others are stuck in endless meetings, he’s out there solving the biggest challenges every day. #ElonMusk #TSLA #Leadership",marc andreessen nails it elon s ability to relentlessly tackle and fix problems week after week is what sets him apart while others are stuck in endless meetings he s out there solving the biggest challenges every day elonmusk tsla leadership,-0.125,0.75,positive,0.0772,0.134,0.761,0.105,242,41
"#DOGE #ElonMusk #XRegulation: Amidst regulatory scrutiny, Elon Musk defends his push for Dogecoin on X, arguing for a more crypto-friendly regulatory environment post-Trump's election. https://t.co/Ohfrzm8VHq",doge elonmusk xregulation amidst regulatory scrutiny elon musk defends his push for dogecoin on x arguing for a more crypto friendly regulatory environment post trump s election,0.4375,0.5,positive,0.1226,0.122,0.773,0.105,177,27
"@Investments_CEO @DogeSantaSol #Christmas is waiting for you 🎅🧑‍🎄🌲

@DogeSantaSol  

#SantaDoge 🐕

#ElonMusk flying this up 🚀 

A4U3DLxHZWSqfnuvsnHb5X62KFR9fHhCEFLjjwPywzsC https://t.co/WglTwsUXCS",christmas is waiting for you santadoge elonmusk flying this up a4u3dlxhzwsqfnuvsnhb5x62kfr9fhhcefljjwpywzsc,0.0,0.0,neutral,0.0,0.0,1.0,0.0,107,11
Oh there's no risk to anyone. Smh  #maga #ElonMusk #RFKJr #ChristiansForTrump #garbage #IFBAP https://t.co/mjBq44uYUd,oh there s no risk to anyone smh maga elonmusk rfkjr christiansfortrump garbage ifbap,0.0,0.0,negative,-0.6808,0.0,0.602,0.398,85,14
🤖 Musk vs. OpenAI: The clash between Elon Musk and his former project raises big questions about the ethical and strategic direction of AI! 🌐💡 #AI #Ethics #TechNews #ElonMusk https://t.co/4M9dQ8IJKE,musk vs openai the clash between elon musk and his former project raises big questions about the ethical and strategic direction of ai ai ethics technews elonmusk,0.06666666666666667,0.2333333333333333,positive,0.5106,0.113,0.887,0.0,162,27
"#ElonMusk #DOGE #XIntegration: X introduces a feature where users can tip each other in Dogecoin, directly from the platform, increasing the cryptocurrency's visibility and use https://t.co/0zDafE0WGt",elonmusk doge xintegration x introduces a feature where users can tip each other in dogecoin directly from the platform increasing the cryptocurrency s visibility and use,-0.012499999999999997,0.3875,neutral,0.0,0.0,1.0,0.0,170,26
"Sorry, but if you buy into this narrative you’re a special kind of stupid 

…And frogs to destroy [them] 🐸🐸🐸

#Xrp #XRPHolders #xrparmy #Ripple #XRPLedger #XRPL #RLUSD #XRPCommunity #Hbar #Hedera #Elonmusk #Trump
@bgarlinghouse #Bitcoin #BTC #QSentMe 🐸 https://t.co/XCY9VELr50",sorry but if you buy into this narrative you re a special kind of stupid and frogs to destroy them xrp xrpholders xrparmy ripple xrpledger xrpl rlusd xrpcommunity hbar hedera elonmusk trump bitcoin btc qsentme,-0.10857142857142857,0.6942857142857143,negative,-0.7876,0.081,0.681,0.238,209,35
"Our team achieved shale oil extraction technology.
Buyers send their price proposals
The buyer should know that apart from the purchase price, a percentage of the oil sales will also be given to our group
Say hello to Nikola Tesla and enjoy endless energy
#ElonMusk #DonaldTrump",our team achieved shale oil extraction technology buyers send their price proposals the buyer should know that apart from the purchase price a percentage of the oil sales will also be given to our group say hello to nikola tesla and enjoy endless energy elonmusk donaldtrump,0.1375,0.625,positive,0.6486,0.11,0.89,0.0,274,46
"All kinds of 💩 is gonna hit the fan, and it's not Trump's.]]
Why Biden should pardon everyone on Trump’s enemies list #DonaldTrump #JoeBiden #FBI #ElonMusk #Presidentialelection
https://t.co/W1hb4PlxNE",all kinds of is gonna hit the fan and it s not trump s why biden should pardon everyone on trump s enemies list donaldtrump joebiden fbi elonmusk presidentialelection,0.0,0.0,positive,0.1027,0.149,0.747,0.104,166,29
"#DOGEHealthcare #ElonMusk #XCharity: X plans to build a hospital where all payments are accepted in Dogecoin, showcasing an unconventional approach to healthcare funding and crypto adoption. https://t.co/ZojAwcHo44",dogehealthcare elonmusk xcharity x plans to build a hospital where all payments are accepted in dogecoin showcasing an unconventional approach to healthcare funding and crypto adoption,0.0,0.0,positive,0.2732,0.084,0.916,0.0,184,26
"𝕏 The Ultimate App? 

Is 𝕏 the best app out there? 

#x #app #ElonMusk #elon https://t.co/GZoqpba5HV",the ultimate app is the best app out there x app elonmusk elon,0.5,0.65,positive,0.6369,0.276,0.724,0.0,62,13
"@LeviRietveld For those that are new or have forgotten the 2021 tweet from @elonmusk 

Much wow!

Buy Xrp is a hint among others that are all fun ways to portray messages. 

#cryptocurrency #cryptocurrencies #Crypto #Bullrun #Bullrun2024 #Bullrun2025 #XRP #Ripple #ElonMusk $XRP https://t.co/BzFpcDT03C",for those that are new or have forgotten the 2021 tweet from much wow buy xrp is a hint among others that are all fun ways to portray messages cryptocurrency cryptocurrencies crypto bullrun bullrun2024 bullrun2025 xrp ripple elonmusk xrp,0.1787878787878788,0.5515151515151515,positive,0.7351,0.161,0.795,0.043,237,39
"Elon Musk has officially announced that 𝕏 is set to introduce its own email service.

#ElonMusk #x 
#DOGE #riyadh #海に眠るダイヤモンド https://t.co/5LvxblVADR",elon musk has officially announced that is set to introduce its own email service elonmusk x doge riyadh,0.6,1.0,neutral,0.0,0.0,1.0,0.0,104,18
"@amonbuy For those that are new or have forgotten the 2021 tweet from @elonmusk 

Much wow!

Buy Xrp is a hint among others that are all fun ways to portray messages. 

#cryptocurrency #cryptocurrencies #Crypto #Bullrun #Bullrun2024 #Bullrun2025 #XRP #Ripple #ElonMusk $XRP https://t.co/pFEUhjQWRi",for those that are new or have forgotten the 2021 tweet from much wow buy xrp is a hint among others that are all fun ways to portray messages cryptocurrency cryptocurrencies crypto bullrun bullrun2024 bullrun2025 xrp ripple elonmusk xrp,0.1787878787878788,0.5515151515151515,positive,0.7351,0.161,0.795,0.043,237,39
"@Crypto_Erdemm For those that are new or have forgotten the 2021 tweet from @elonmusk 

Much wow!

Buy Xrp is a hint among others that are all fun ways to portray messages. 

#cryptocurrency #cryptocurrencies #Crypto #Bullrun #Bullrun2024 #Bullrun2025 #XRP #Ripple #ElonMusk $XRP https://t.co/Y1FiOQwDsJ",for those that are new or have forgotten the 2021 tweet from much wow buy xrp is a hint among others that are all fun ways to portray messages cryptocurrency cryptocurrencies crypto bullrun bullrun2024 bullrun2025 xrp ripple elonmusk xrp,0.1787878787878788,0.5515151515151515,positive,0.7351,0.161,0.795,0.043,237,39
"#DOGE #ElonMusk #XMerch: Exclusive merchandise on X can now be bought using Dogecoin, with Musk promoting the move as a step towards normalizing crypto payments in everyday transactions. https://t.co/ERsQ3Ue8ou",doge elonmusk xmerch exclusive merchandise on x can now be bought using dogecoin with musk promoting the move as a step towards normalizing crypto payments in everyday transactions,-0.2,0.6,positive,0.4588,0.143,0.857,0.0,180,28
"@Brett_Crypto_X For those that are new or have forgotten the 2021 tweet from @elonmusk 

Much wow!

Buy Xrp is a hint among others that are all fun ways to portray messages. 

#cryptocurrency #cryptocurrencies #Crypto #Bullrun #Bullrun2024 #Bullrun2025 #XRP #Ripple #ElonMusk $XRP https://t.co/yQ5zahgsZp",for those that are new or have forgotten the 2021 tweet from much wow buy xrp is a hint among others that are all fun ways to portray messages cryptocurrency cryptocurrencies crypto bullrun bullrun2024 bullrun2025 xrp ripple elonmusk xrp,0.1787878787878788,0.5515151515151515,positive,0.7351,0.161,0.795,0.043,237,39
@ScottAdamsSays You also talked about Elon Musk's (@ElonMusk) uniqueness (related to DOGE). How blessed are you and I? #ElonMusk #DOGE #PresidentElect  #DonaldTrump https://t.co/pEntay8MxK https://t.co/V9HRwJ91EY,you also talked about elon musk s uniqueness related to doge how blessed are you and i elonmusk doge presidentelect donaldtrump,0.0,0.4,positive,0.5994,0.178,0.822,0.0,127,21
"For those that are new or have forgotten the 2021 tweet from @elonmusk 

Much wow!

Buy Xrp is a hint among others that are all fun ways to portray messages. 

#cryptocurrency #cryptocurrencies #Crypto #Bullrun #Bullrun2024 #Bullrun2025 #XRP #Ripple #ElonMusk $XRP https://t.co/BVnaTd039b",for those that are new or have forgotten the 2021 tweet from much wow buy xrp is a hint among others that are all fun ways to portray messages cryptocurrency cryptocurrencies crypto bullrun bullrun2024 bullrun2025 xrp ripple elonmusk xrp,0.1787878787878788,0.5515151515151515,positive,0.7351,0.161,0.795,0.043,237,39
